C1orf112,HPA023778;HPA024451;
CFH,CAB016385;CAB016769;HPA038922;HPA049176;HPA053326;
STPG1,HPA024301;
NIPAL3,HPA039978;
LAS1L,HPA044431;HPA061463;
ANKIB1,HPA019358;HPA021780;
CYP51A1,HPA041325;HPA043508;
KRIT1,HPA049606;
BAD,CAB004205;HPA028185;HPA062105;
CD99,CAB000020;HPA035304;
LASP1,HPA012072;CAB022049;
SNX11,HPA044787;HPA054660;
TMEM176A,HPA008770;
CYP26B1,HPA012567;
DBNDD1,HPA043018;
ALS2,HPA046588;
CFLAR,HPA019044;CAB022157;CAB025216;
RBM5,HPA017335;HPA018011;
SARM1,HPA024359;HPA024759;
KDM1A,CAB005884;HPA053660;
CAMKK1,CAB009111;HPA028062;
RECQL,CAB009743;HPA030960;HPA064259;
VPS50,HPA026679;
ARHGAP33,HPA030117;HPA030118;
ZMYND10,HPA035255;
SLC25A13,HPA018997;
ST7,HPA038325;HPA038326;
CDC27,CAB016315;HPA028129;HPA052399;HPA065835;
DVL2,CAB009312;HPA021611;HPA022914;HPA064732;
PRSS22,HPA049161;
UPF1,HPA019587;HPA020857;
SKAP2,HPA005560;HPA024045;
REXO5,HPA040755;HPA040868;HPA066145;
CIAPIN1,HPA041350;HPA042182;
MSL3,HPA034535;HPA034536;
CREBBP,CAB004212;HPA055861;
CROT,HPA019052;HPA019364;HPA019365;
ABCB4,HPA049395;HPA053288;
RHBDD2,HPA045074;HPA051960;
SOX8,HPA041640;HPA058665;
IBTK,HPA023826;HPA048438;
ZNF195,HPA030605;
FBXL3,HPA053283;HPA065626;
ITGA3,HPA008572;CAB018594;
ZFX,HPA001748;HPA003877;HPA071863;
REX1BD,HPA043414;
OSBPL7,HPA036076;HPA053083;HPA073967;
TMEM98,HPA040473;HPA053385;
ABCC8,CAB011451;HPA042318;
AP2B1,CAB017631;HPA056733;HPA067983;
ZNF263,HPA035085;HPA035086;
CX3CL1,CAB026192;HPA040361;
TNFRSF12A,HPA007853;
MAP3K9,HPA000942;
PHTF2,HPA012312;
FARP2,HPA031226;HPA055592;
IFRD1,HPA024122;HPA072413;
COX10,HPA032005;HPA032006;
ELAC2,HPA019535;
SCIN,HPA020518;HPA024264;
CDKL3,HPA027751;
UPP2,HPA035225;HPA035226;
PRSS21,HPA008477;
MARK4,HPA039186;
CCDC124,HPA041708;HPA046765;
PAFAH1B1,CAB004489;HPA020036;
SCN4A,HPA053992;
PAX6,HPA030775;CAB034143;
RPUSD1,HPA041144;HPA041938;
LUC7L,HPA056424;HPA069321;
PIGQ,HPA039105;HPA039828;HPA061414;
PSMB1,HPA029635;HPA029637;CAB033911;
DLEC1,HPA019077;
CYTH3,HPA013979;
AASS,HPA020637;HPA020728;HPA020734;
SS18L2,HPA047377;
NFIX,HPA007533;
HEATR5B,HPA042025;HPA055639;
SEC62,HPA014059;HPA061450;
RPS20,HPA003570;
CSDE1,HPA018846;HPA052221;
MASP2,HPA029313;HPA029314;
TRAF3IP3,HPA040796;
POMT2,HPA003663;
BAZ1B,CAB037081;CAB037158;HPA067010;
RANBP9,CAB033767;HPA050007;HPA076784;
ETV7,HPA029033;
SPRTN,HPA025073;
METTL13,HPA044498;HPA053705;
DYRK4,HPA028065;HPA056073;
ZNF207,HPA017013;HPA063908;
STARD3NL,HPA019204;
CD9,CAB002490;
NCAPD2,CAB012423;HPA036947;HPA037363;
PHF7,HPA036283;HPA070305;
FUZ,HPA041779;HPA042196;
ZNF200,HPA018981;HPA059310;
CD4,CAB000011;HPA004252;HPA004472;CAB068180;
LRRC23,HPA037766;HPA057533;
ELOA,HPA005910;
CLCN6,HPA032097;
NME1-NME2,CAB002169;HPA008467;HPA041113;CAB076057;
APBA3,HPA045577;
AKAP8L,HPA042485;HPA042546;
MBTD1,HPA021876;
RNF216,HPA018955;HPA021123;
TTC19,HPA023010;HPA052380;
PTBP1,CAB013507;
PLAUR,HPA050843;CAB073533;
WIZ,HPA022923;HPA023774;
QPCTL,HPA040797;
PPP5C,CAB022641;HPA029065;HPA056933;
CEP68,HPA040493;HPA040620;
ERCC1,CAB004390;HPA029773;HPA050182;CAB072859;CAB072860;
MBTPS2,HPA005494;CAB009486;
NR1H4,HPA047699;
ELOVL5,CAB017042;HPA047752;HPA054197;
CALCOCO1,HPA038313;HPA038314;
UBR7,HPA000861;
PSMC4,HPA002044;HPA005471;
MVP,HPA002321;CAB002752;CAB022717;HPA064740;
NUB1,HPA021220;HPA050722;HPA053648;
ANGEL1,HPA000948;
RNF14,HPA008716;HPA064746;
DDX11,HPA065197;
POLA2,HPA037570;
ZC3H3,HPA023658;HPA050577;
CAPN1,HPA005992;
MDH1,HPA027296;CAB047333;HPA054276;
MTMR11,HPA030351;HPA072906;
COX15,HPA037727;HPA037728;HPA066096;
CCDC88C,HPA005832;
YAF2,HPA026867;
ZMYND11,HPA015816;
DPEP1,HPA009426;HPA012783;
BID,HPA000722;CAB003771;
MATR3,CAB033552;HPA036564;HPA036565;
NUDCD3,HPA019136;HPA019528;HPA019529;
IL20RA,CAB024990;HPA042281;
GLT8D1,HPA010588;
SLC38A5,HPA047411;
RALBP1,CAB046010;HPA046651;
RUFY3,HPA022952;HPA022970;
CXorf56,HPA038245;HPA038617;HPA064831;
TTC27,HPA031246;
ZNF582,HPA028858;
CYP24A1,HPA022261;HPA063771;
SYT13,HPA046224;HPA056602;
CD74,CAB002506;HPA010592;
ZFP64,HPA035112;HPA058387;
SAMD4A,HPA043061;HPA065309;
MRE11,HPA002691;CAB004081;
SPAST,HPA017311;
CPS1,CAB003781;HPA021400;
FHL1,HPA001040;HPA001391;CAB020817;
SLC45A4,HPA023154;
RNF10,HPA052643;
ZNF839,HPA020434;
RNH1,HPA039223;HPA040781;
NDUFS1,HPA064605;CAB070844;
RB1CC1,HPA024391;HPA053049;
ALAS1,CAB017498;HPA035860;
BIRC3,HPA002317;
GLRX2,HPA023087;HPA057224;
DERA,HPA055897;
GCLM,CAB009568;HPA023696;CAB040554;
UBR2,HPA027869;HPA027880;
HSF2,CAB016067;HPA031455;
PHF20,HPA029619;HPA029620;HPA029621;
KPNA6,HPA018863;
FAS,HPA027444;
CD44,CAB000112;CAB000316;HPA005785;
KCNG1,HPA039530;HPA040024;
BTN3A1,HPA012565;
MIPEP,HPA030676;HPA031669;HPA031670;
PRKCH,HPA026294;HPA053709;
VRK2,CAB046459;HPA047503;
VEZT,HPA004811;HPA017066;
BRD9,HPA021465;HPA023197;
SNX1,HPA047373;HPA052761;
RABEP1,CAB004549;HPA019669;HPA024235;HPA024691;
HMGB3,HPA062583;
FAM13B,HPA036525;HPA041819;HPA071936;
CENPQ,HPA029043;HPA046634;HPA054965;
SARS,HPA016939;HPA064668;
RANBP3,HPA043375;HPA043389;
EIPR1,HPA031231;HPA031232;HPA031233;HPA031234;
ZCCHC8,HPA037483;HPA037484;
ABCF2,HPA020091;CAB020682;HPA021815;HPA030388;
FUT8,CAB017129;HPA043410;
PIAS1,HPA005743;CAB012304;
SLC4A7,CAB022494;HPA035857;
MAP2K3,CAB018548;
ASTE1,HPA037010;HPA037011;
SH3YL1,HPA030926;HPA030927;
FAM136A,HPA030103;HPA030104;
DEPDC1B,HPA038255;HPA072558;
NSMAF,HPA023067;HPA023148;HPA023151;
STAP1,HPA038529;
RFC1,CAB009520;HPA046116;HPA069306;
TBC1D23,HPA038151;HPA038152;
MYOM2,HPA001765;HPA005953;
AC118549.1,HPA053663;HPA054913;HPA066197;
RPL26L1,HPA030449;
FLT4,CAB000099;HPA046519;HPA067906;HPA074389;
NSUN2,HPA037896;
FBXO42,HPA025071;
MFAP3,HPA015883;HPA049198;
METTL1,HPA020914;HPA050450;
HOXC8,HPA028911;CAB037020;
PI4K2B,HPA004099;
BOD1L1,HPA036943;HPA037362;HPA041290;
TRIO,HPA008157;HPA064664;
VCAN,HPA004726;CAB008979;
CLEC16A,HPA035814;HPA035815;HPA061385;
MTREX,HPA037379;
ZFYVE16,HPA035935;HPA035936;
RIPOR1,HPA005923;
RAI14,HPA036949;HPA036950;
PNKP,HPA006782;
SPDL1,HPA044700;HPA048146;
STAU2,HPA019155;CAB020836;
PQLC2,HPA057810;
CTNS,HPA046947;
RTN4R,CAB012443;
PHF23,HPA052410;
THAP3,HPA067114;
SPATA7,HPA038082;HPA038083;
RETSAT,HPA007961;HPA046513;
CAPG,HPA018843;HPA019080;HPA019092;
DCUN1D1,HPA035911;
JADE2,HPA025959;HPA055789;
PHKA2,HPA002912;
HSPA5,CAB005221;HPA038845;HPA038846;
GEMIN8,HPA028613;
POLR2B,HPA037506;
FAM214A,HPA039369;HPA040180;
TPR,HPA019661;HPA019663;HPA024336;
DTNBP1,HPA028053;HPA029615;HPA029616;
XK,HPA019036;
ANO2,HPA036276;HPA057499;
C12orf4,HPA037871;
SCML1,HPA035270;HPA035271;HPA061397;
WWC3,HPA039814;
MAP4,HPA038149;HPA038150;
GOPC,HPA019477;HPA024018;
HDAC9,HPA028926;
TSPAN17,HPA030447;
NOP16,HPA036506;HPA058147;
RRM2B,CAB006854;HPA028812;
ZNF800,HPA023090;HPA052194;
MRPS10,HPA029133;HPA029134;
RSF1,CAB022626;HPA046129;HPA057547;HPA064567;
FAM120A,HPA019734;HPA055800;
R3HDM1,HPA030936;
H6PD,HPA004824;HPA005440;
PER3,HPA019530;
LTBP1,HPA005707;CAB025428;
RCN1,HPA038474;HPA062104;
RFC2,HPA029493;
CLPTM1L,HPA014791;
FOXP3,CAB026301;HPA045943;
NFE2L3,HPA055889;
LIMA1,HPA023871;HPA052645;
BCAR1,CAB000443;HPA042282;
HERPUD1,CAB037041;CAB037104;HPA040754;HPA041219;
HOMER3,CAB032656;HPA040999;CAB079015;
POLQ,HPA053359;
MPHOSPH9,HPA037485;
PLEKHA5,HPA035923;HPA035924;HPA041455;
SIKE1,HPA024177;HPA025726;
FNIP2,HPA042779;HPA052758;HPA072420;
TTC17,HPA038508;
FSTL4,HPA045920;
MRTO4,HPA026446;
MCF2L2,HPA038946;HPA038947;
ANAPC4,CAB032519;HPA038395;HPA038396;
THRAP3,HPA012041;CAB017472;HPA063765;
LY75,CAB001450;HPA049108;HPA054073;
FOXC1,HPA040670;
TBC1D22A,HPA001173;
SYNE2,HPA003435;HPA050204;
PLEKHH1,HPA047707;HPA051964;
FAM168A,HPA037580;
RELT,HPA062824;HPA071518;
NOP58,HPA018472;HPA021062;
SZRD1,HPA024221;
CUL1,CAB002676;HPA064584;
EIF2AK2,CAB003845;HPA019795;HPA063893;
MCOLN3,HPA018106;HPA062137;
PUM2,HPA030316;HPA049670;
ITIH1,HPA041639;HPA042049;
HPF1,HPA043467;
ZFR,HPA016666;
ZNF280C,HPA051494;HPA055788;
NPFFR2,HPA026825;
TRAF1,HPA001852;CAB009593;
TRAF3IP2,HPA036352;
GYG2,HPA005495;HPA064686;
DCBLD2,HPA016909;
SERPINB3,CAB018772;CAB036006;CAB036007;HPA048341;HPA049988;HPA055992;
PKP2,HPA014314;CAB037336;HPA056908;
PRDM1,HPA030033;HPA075427;
ATG5,CAB034432;CAB037309;HPA042973;
MTA3,HPA039433;
ATP11B,HPA036237;HPA036238;
LAMC2,CAB004257;HPA024638;CAB078165;
CDK14,HPA015267;
SEC61A1,CAB022076;
RASGRF1,CAB010413;HPA041965;
CAMK2B,CAB006849;HPA026307;HPA051783;HPA051785;HPA053973;
CROCC,HPA021191;HPA021762;
POLR3E,HPA041419;HPA041477;
ATP2B4,CAB016118;HPA040431;
ZC3H11A,HPA026439;HPA028490;HPA028526;
RIOK2,HPA005681;
DGKG,HPA036577;
ALDH18A1,HPA008333;HPA012604;
GATB,HPA042610;
MXD1,HPA001599;
DNAJC25,HPA019122;
YBX3,HPA034838;
CCAR1,HPA007856;HPA048513;
OGFR,HPA017899;
QSER1,HPA005682;
MPC1,HPA045119;HPA055790;
ACAA1,HPA006764;HPA007244;
HDAC7,HPA004775;
LZTS1,HPA006294;HPA022046;
PRDM6,HPA030324;
NCKAP1,HPA020449;
SFSWAP,HPA039362;HPA040063;
TNK2,HPA041954;
ARSF,HPA000549;
ZNF112,HPA023856;
CS,HPA038460;HPA038461;CAB075750;CAB075751;CAB075752;CAB075753;CAB075754;
ELMO2,HPA018811;
VMP1,HPA030773;HPA064780;
EIF4B,HPA039072;HPA046164;
SPHK2,HPA049062;
RPL18,HPA046572;
CA11,HPA041778;
U2AF2,CAB010910;HPA041943;HPA043562;
EPN1,CAB009729;HPA061136;HPA071503;
MED29,HPA055956;
ZNF275,HPA000566;
ADCK1,HPA051012;HPA055014;
CASP8,HPA001302;CAB002047;HPA005688;HPA006191;
INTS13,HPA039543;HPA040109;HPA073020;
TM7SF3,HPA057640;
SPA17,HPA037568;
NGFR,CAB000143;CAB001995;HPA004765;
HIPK2,HPA007611;
TNPO3,HPA039555;HPA041537;
RFXANK,HPA049157;HPA053330;
TMEM161A,HPA043365;
CTSA,CAB024930;HPA031068;HPA072487;
SUGP2,HPA041557;HPA061111;
CNN2,HPA049095;
FAR2,HPA015884;
HMG20B,HPA050220;HPA053157;HPA069832;
TAF11,HPA029326;HPA049127;
ANKS1A,HPA036768;HPA036769;
ZNF76,HPA030090;HPA030091;
SLC9A3R2,HPA001672;HPA066520;
UHRF1BP1,HPA032099;HPA032100;
GNAI3,CAB022099;HPA042141;
IPO5,CAB009110;HPA040983;HPA056548;
OAT,CAB033576;HPA040098;HPA064742;
WDR3,HPA027509;HPA054354;HPA072915;
PKN2,HPA034861;HPA057913;
TRAM2,HPA035092;HPA057925;
ERBB3,CAB025331;HPA045396;
ANKRD44,HPA030122;HPA056549;
ADAT1,HPA040713;HPA040903;
TBC1D22B,HPA027908;HPA027909;HPA027910;
NDUFB4,HPA051739;HPA064441;
SPEN,HPA015825;HPA050257;
ZC3H15,HPA031099;HPA031100;HPA031101;
MAP2K4,CAB007751;HPA060074;
SNAP91,CAB009745;HPA029632;HPA029633;
SLK,HPA015757;
ASB1,HPA003508;
FAM107B,HPA039661;HPA058814;HPA073195;
ME1,HPA006493;
CDK13,HPA059241;
FOXJ2,HPA008723;
YBX1,CAB005875;HPA040304;HPA057159;
ELAVL1,CAB005256;HPA046298;
SMARCD1,HPA004101;
KDM4A,HPA007610;
NFYC,HPA055011;
SLC9A3,HPA036493;HPA036669;
NGEF,HPA008160;
ASPM,CAB017816;
ZNRD1,HPA055074;HPA077979;
FGFR2,CAB010886;HPA035305;
LRRC40,HPA026564;
THUMPD1,HPA027851;
MSANTD3,HPA062662;
KIF26A,HPA046882;HPA060346;
ATG2B,HPA000880;HPA001427;HPA019665;
ARFGEF1,HPA023399;HPA023822;
MTFR1,HPA023152;HPA056120;
STAG3,HPA049106;HPA058330;
MYO9A,HPA039812;HPA040071;
DDX3Y,HPA001648;HPA005631;HPA059583;
PFKP,HPA018257;HPA056484;
NEO1,CAB009320;HPA027804;HPA027805;HPA027806;
EVI5,HPA027339;
STOML1,HPA042353;
PKM,CAB019421;HPA029501;
DHX29,HPA038317;HPA038318;
TP53BP1,CAB004083;HPA008788;HPA022133;
RHOA,CAB005052;
IARS2,HPA024212;HPA024594;HPA024596;
NAV3,HPA032111;HPA061392;
CBFB,HPA038852;
HEATR6,HPA030789;HPA062157;
PLEKHH3,HPA046234;
MEF2A,CAB004499;HPA046597;
TFE3,HPA023881;
ACSL4,HPA000286;HPA005552;
GRIPAP1,HPA000282;HPA000615;
FTSJ1,HPA002718;
ATP11A,HPA035583;HPA035584;
POLR1A,CAB010145;HPA031513;HPA049700;
SRBD1,HPA030567;HPA030568;
PSME4,HPA060922;
PAGE1,HPA003473;
PITX1,HPA008743;
TRPC7,CAB022592;HPA031126;
MAST4,HPA000544;
SDK2,HPA014725;
DNAJA2,HPA049789;HPA060538;
TGFBR3,HPA008257;CAB018971;
NEDD4,CAB001991;HPA039883;CAB072833;
PIGB,HPA039929;
MAPK6,CAB005184;HPA030262;HPA047825;
HDHD5,HPA005548;
UFD1,HPA030286;HPA030287;
ELP1,CAB021340;HPA049677;HPA050686;
NUCB2,HPA008395;CAB015931;CAB079781;
TMEM260,HPA003502;
SMG6,HPA042932;
FSTL3,CAB024899;HPA045378;
RNF126,HPA043050;
MNT,HPA059532;HPA067578;
ZXDC,HPA049593;
POLB,CAB011616;HPA049104;
GBA2,HPA024026;
ASNS,HPA004924;HPA029318;HPA064737;
PABPC1,CAB011536;HPA045423;HPA067156;
TESK2,HPA027257;HPA063869;
CFAP20,HPA018195;
EIF2B3,HPA024213;HPA024218;HPA024219;
CAMK2A,CAB004330;HPA051783;HPA051785;HPA053973;
TCOF1,CAB033199;HPA038237;HPA038238;
CDC42,CAB004360;HPA069590;
OSBPL3,HPA000691;HPA048401;
ATP2B1,CAB005605;HPA011166;HPA012945;
ARHGAP10,HPA039589;
RPS6KA2,CAB026243;HPA045061;HPA054237;CAB069428;
LMCD1,HPA024059;
TCF3,CAB018351;HPA049808;HPA062476;
MBD3,CAB013265;
HLTF,HPA015284;HPA049001;
FAM50A,HPA003585;
SLC6A15,HPA008609;
ACTN1,CAB004303;HPA006035;
RPS6KA6,HPA002852;HPA003904;
EPN2,HPA049809;HPA053360;
TFRC,CAB000153;HPA028598;
UBE2D1,HPA003920;
MPP5,HPA000993;HPA063890;
RHOBTB1,HPA040205;HPA040226;
SMC1A,HPA005499;CAB025404;
HMMR,CAB002433;HPA040025;HPA043926;HPA061524;
P4HA2,HPA016997;HPA027824;CAB062557;
NFATC3,HPA050665;
TRNT1,HPA036938;
EVC,HPA008703;HPA016046;
DERL2,CAB037287;HPA048957;HPA056551;
TMEM38A,HPA048100;HPA050463;
PVR,HPA012568;HPA064739;
XRCC1,CAB005427;HPA006717;
ALPK1,HPA027435;HPA027443;
LLGL2,HPA022913;
PDE8A,HPA007722;
NLE1,HPA018807;
SDHA,CAB034929;HPA041981;HPA064582;
SMARCE1,HPA003916;CAB037318;
ABCB11,HPA019035;
IGF2BP2,CAB017126;HPA035145;
MAP3K13,HPA016497;HPA036691;HPA036692;
PICALM,HPA019053;HPA019061;
MRPS34,HPA042112;
NOTCH3,CAB005393;HPA044392;
CLNS1A,CAB017840;HPA031707;HPA031708;HPA032045;
EED,CAB012211;HPA060089;HPA061140;
TSG101,CAB004283;HPA006161;
NCBP3,HPA008959;HPA013195;
MGLL,HPA011348;HPA011993;HPA011994;
DPP8,HPA008706;
SLC24A1,HPA039370;
ZNF532,HPA015322;
LMAN1,HPA002320;CAB037163;
ZZEF1,HPA031778;HPA031790;
KCNQ2,HPA016642;HPA057112;
ACTR6,HPA038587;HPA038588;
SRI,HPA019004;HPA073666;
EIF4G3,HPA025031;HPA025039;HPA025041;
NUP37,HPA056300;HPA073708;
SEMA3A,HPA029447;HPA052235;
SEMA3C,HPA042418;
TTC38,HPA029302;HPA075893;
CELSR1,HPA052976;HPA060521;
ZNF638,HPA036784;HPA057395;
ADD2,CAB009796;HPA034509;HPA034510;
RASAL2,HPA018805;HPA020453;
ZNF37A,HPA003172;
FNDC3B,HPA007859;
FOSL2,HPA004817;CAB013460;HPA061417;
FRYL,HPA031106;HPA031107;
TMEM131,HPA017678;HPA017682;
FSCN1,CAB000121;HPA005723;CAB035991;HPA050654;
DLG1,CAB016307;HPA069593;
BCAP29,HPA029215;HPA049694;
ARHGAP15,HPA032125;
TUBA3D,CAB004972;HPA039247;HPA043684;HPA063394;
EXOSC7,HPA036182;HPA057980;
REXO2,HPA038450;HPA038451;
RBM7,HPA013993;HPA048003;
BAZ2A,HPA005782;HPA063806;
MLH1,CAB013294;HPA052707;HPA060714;CAB070868;
UNG,CAB011605;
KLHL20,HPA025034;HPA053704;
ANKRD13A,HPA039488;HPA043218;
TPD52,HPA028427;HPA062167;
GPATCH1,HPA043430;HPA043604;
ICAM3,CAB002498;HPA049820;
MCAM,CAB002147;HPA008848;
MBNL3,HPA001584;
RAP1GAP,HPA001922;CAB003851;
ARHGEF1,CAB009502;HPA012924;HPA060784;
RARB,CAB002617;HPA004174;
TOP2B,CAB004601;HPA024120;HPA050441;
TM9SF3,HPA039609;
NFKB2,HPA008422;CAB022098;HPA023900;
UBE2T,HPA002831;
PPP1R12B,HPA024171;HPA024640;
GTF3C1,HPA051617;HPA075900;
SNRPA,CAB004652;HPA046440;HPA054834;
EXOSC5,HPA053150;HPA055677;
LRCH4,HPA037667;HPA037668;
POLD3,HPA058846;
ACTN2,HPA006035;HPA008315;
CAPZB,HPA031531;
NAALAD2,HPA060820;HPA065419;
JADE1,HPA020016;
SMC1B,HPA001500;
AMPH,CAB008559;HPA019828;HPA019829;
MCCC1,HPA008310;
N4BP2,HPA036770;HPA042607;HPA072549;
TULP3,HPA015285;HPA018496;
SYNJ2,HPA031575;
PPP2R5C,HPA027553;
RBFOX1,HPA040809;HPA066746;HPA075862;
GNB1,HPA040736;
HOXA9,HPA061982;HPA076200;
EDN1,HPA031976;CAB032500;CAB037291;
ZCWPW1,HPA020911;
NRDC,HPA053661;
VDAC3,HPA026864;
PCM1,HPA023370;HPA023374;CAB058695;
TNRC6C,HPA022007;HPA062051;
BRINP1,HPA038828;
PKD2L2,HPA041903;HPA043634;
SDF4,HPA011249;HPA011895;CAB015227;
BPIFB2,HPA049491;HPA060121;
TP73,CAB002514;CAB003022;HPA027314;HPA044516;
TOLLIP,HPA038621;HPA038622;
UBE2D4,HPA003920;
THOC1,HPA019096;HPA019687;
OSBPL6,HPA032131;
SLC1A3,CAB002573;HPA037467;HPA037468;
XRCC5,CAB004468;HPA025813;HPA064685;
TNS1,CAB018774;HPA036089;HPA036090;
SAR1A,HPA006923;CAB022545;HPA048368;
RAPGEF3,CAB004386;HPA040365;HPA043518;
SENP1,HPA011765;HPA046491;
CIC,CAB026388;HPA044341;HPA064725;
FDFT1,HPA008874;
PAFAH1B3,HPA035639;
OPHN1,HPA002919;
KIF22,HPA048213;HPA075670;
SCGN,CAB004005;HPA006641;CAB044060;CAB062563;CAB068232;
CARMIL1,HPA029038;HPA029039;
DDX1,CAB012280;HPA034502;HPA034503;
DNM2,HPA054246;
EPB41L2,HPA005730;HPA006642;
RABL2B,HPA042642;HPA042700;HPA044007;
KEAP1,HPA005558;CAB025337;
PTPRH,HPA042300;
EPHA6,HPA007397;HPA058047;
RFX3,HPA035689;
PUM3,HPA002353;
CPOX,HPA015736;HPA054448;
CLDND1,HPA029841;
MOK,HPA027292;
HSP90AA1,CAB002058;
RBL1,HPA054962;HPA056525;
RSBN1,HPA042124;HPA049484;
OSTM1,HPA010851;
PCNP,HPA035011;HPA063861;
EXD2,HPA002906;HPA005848;
ARG2,HPA000663;CAB009435;
